AGS,ADMIN,Name_old,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.20203,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020
7131,Ahrweiler (Landkreis),Ahrweiler ,0,0,0,0,0,0,0,0,0,3,3,3,14,17,18,24,31,37,44,48,51,56,58,61,63
9771,Aichach-Friedberg (Landkreis),Aichach-Friedberg ,1,1,1,1,1,1,1,2,2,2,9,9,10,12,16,24,31,31,39,39,47,55,79,90,106
8425,Alb-Donau-Kreis (Landkreis),Alb-Donau-Kreis ,2,2,2,3,3,3,3,6,8,8,11,12,13,26,35,43,57,57,64,67,99,121,164,197,197
16077,Altenburger Land (Landkreis),Altenburger Land ,0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,5,5,5,7,8,16,17,17,18,19
7132,Altenkirchen (Westerwald) (Landkreis),Altenkirchen (Westerwald) ,0,0,0,0,0,0,0,0,0,1,1,2,3,8,11,13,13,17,17,17,25,31,35,39,39
15081,Altmarkkreis Salzwedel (Landkreis),Altmarkkreis Salzwedel ,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,6,6,8,9,10,10,12,12
9171,Altötting (Landkreis),Altötting ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,18,18,27,44,52,64,81,95,101
7331,Alzey-Worms (Landkreis),Alzey-Worms ,0,0,0,0,0,0,0,0,0,2,2,8,8,23,24,41,48,55,55,55,60,63,70,75,80
9361,Amberg (Kreisfreie Stadt),Amberg ,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,5,6,7,7,7,9
9371,Amberg-Sulzbach (Landkreis),Amberg-Sulzbach ,0,1,1,3,3,3,3,3,3,4,7,7,7,15,15,17,18,18,27,27,31,36,44,47,56
3451,Ammerland (Landkreis),Ammerland ,1,1,1,1,1,1,1,1,1,7,7,7,7,11,14,17,20,21,24,33,36,44,50,56,64
15082,Anhalt-Bitterfeld (Landkreis),Anhalt-Bitterfeld ,0,0,0,0,0,0,0,1,1,2,2,2,6,6,6,8,9,12,13,16,17,26,27,30,30
9561,Ansbach (Kreisfreie Stadt),Ansbach ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,7,7,7,10,20,21,23
9571,Ansbach (Landkreis),Ansbach ,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,13,21,34,40,47,47,49,100,100,120
9661,Aschaffenburg (Kreisfreie Stadt),Aschaffenburg ,0,0,0,0,0,1,1,1,1,1,6,6,6,20,20,20,20,22,26,28,30,31,32,36,42
9671,Aschaffenburg (Landkreis),Aschaffenburg ,0,0,0,0,0,0,1,1,1,2,3,3,3,23,23,26,31,40,49,50,65,65,77,90,103
9761,Augsburg (Kreisfreie Stadt),Augsburg ,2,2,3,4,4,4,4,4,5,5,11,11,11,22,30,34,43,46,52,59,75,90,108,130,136
9772,Augsburg (Landkreis),Augsburg ,0,0,0,0,1,5,17,27,27,27,31,35,35,35,41,53,54,68,78,88,100,122,143,152,164
3452,Aurich (Landkreis),Aurich ,0,0,0,0,0,0,1,1,1,3,12,12,16,17,22,27,27,31,31,31,34,41,48,48,49
7332,Bad Dürkheim (Landkreis),Bad Dürkheim ,1,1,1,3,3,3,4,4,6,7,13,15,18,19,35,48,56,72,83,99,110,111,117,136,146
9672,Bad Kissingen (Landkreis),Bad Kissingen ,0,1,1,1,1,1,1,3,3,3,3,3,7,7,9,10,14,17,27,27,32,35,37,54,63
7133,Bad Kreuznach (Landkreis),Bad Kreuznach ,0,0,0,0,0,0,0,1,1,1,13,13,23,23,25,30,42,44,46,53,57,64,72,77,90
9173,Bad Tölz-Wolfratshausen (Landkreis),Bad Tölz-Wolfratshausen ,0,0,0,0,0,0,0,1,2,5,6,10,10,11,11,21,31,38,49,63,74,75,120,126,135
8211,Baden-Baden (Stadtkreis),Baden-Baden ,0,0,0,1,1,1,1,2,3,3,4,5,7,12,14,19,21,23,27,33,36,36,39,47,64
9461,Bamberg (Kreisfreie Stadt),Bamberg ,0,0,0,0,0,0,0,0,0,0,3,4,4,9,11,21,25,26,30,30,34,39,55,65,67
9471,Bamberg (Landkreis),Bamberg ,0,0,0,0,0,0,0,0,1,4,7,9,9,10,16,41,41,41,48,53,75,107,138,151,161
12060,Barnim (Landkreis),Barnim ,0,0,0,0,0,0,0,2,2,4,8,10,11,11,20,21,29,37,38,40,46,50,56,61,65
14625,Bautzen (Landkreis),Bautzen ,0,0,0,1,4,4,4,7,12,12,14,19,19,24,36,48,55,56,86,88,101,112,114,141,156
9462,Bayreuth (Kreisfreie Stadt),Bayreuth ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,7,7,7,7,7,9,19,53,56,56
9472,Bayreuth (Landkreis),Bayreuth ,2,2,2,2,2,2,4,4,4,5,6,6,6,6,9,13,21,23,26,38,56,60,85,101,101
9172,Berchtesgadener Land (Landkreis),Berchtesgadener Land ,0,0,0,0,0,0,0,0,0,4,4,4,9,9,13,19,25,28,31,39,41,48,60,64,68
6431,Bergstraße (Landkreis),Bergstraße ,1,1,1,1,1,2,3,3,6,13,15,19,21,25,31,37,47,68,73,84,96,104,123,141,156
11000,Berlin (Kreisfreie Stadt),Berlin ,9,15,19,28,40,48,58,90,137,174,263,283,332,383,519,688,868,1025,1071,1219,1425,1645,1937,2152,2337
7231,Bernkastel-Wittlich (Landkreis),Bernkastel-Wittlich ,0,0,0,0,0,0,0,1,3,3,4,4,6,7,9,16,18,21,23,24,31,32,38,45,49
8426,Biberach (Landkreis),Biberach ,0,0,1,3,3,3,3,3,4,11,12,12,12,38,45,55,55,55,73,74,111,154,187,200,212
5711,Bielefeld (Kreisfreie Stadt),Bielefeld ,0,0,0,0,0,0,2,5,15,19,25,27,28,43,49,57,72,81,93,98,104,120,132,142,146
7134,Birkenfeld (Landkreis),Birkenfeld ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,15,17,17,19,20,25,31,33
8115,Böblingen (Landkreis),Böblingen ,1,1,3,3,3,3,4,4,4,7,9,9,9,66,66,105,125,182,239,255,318,351,398,450,473
5911,Bochum (Kreisfreie Stadt),Bochum ,1,1,2,3,3,4,5,5,8,20,24,24,26,26,39,61,81,120,141,143,158,167,180,194,219
8435,Bodenseekreis (Landkreis),Bodenseekreis ,1,3,4,4,4,4,5,8,12,18,31,33,35,48,66,75,75,89,89,100,131,170,172,186,192
5314,Bonn (Kreisfreie Stadt),Bonn ,1,1,1,1,1,6,7,13,17,23,28,37,55,64,69,75,103,120,133,157,166,180,218,222,241
15083,Börde (Landkreis),Börde ,0,0,0,0,0,0,2,2,2,3,4,11,13,16,22,25,29,30,36,40,41,44,44,50,50
5554,Borken (Kreis),Borken ,0,1,5,5,5,5,6,7,14,27,45,82,95,123,164,209,252,274,282,296,308,336,368,399,424
5512,Bottrop (Kreisfreie Stadt),Bottrop ,0,0,0,0,0,1,1,1,3,3,3,4,4,9,10,12,13,16,17,17,18,22,22,27,37
