Name_old,BEZ,Name,ISO,Cumulative,Recovered,Dead,Cases,Population,Density,Date,Source,Quelle 2,Mortality,Lethality
Flensburg,Kreisfreie Stadt,Flensburg (Kreisfreie Stadt),01001,21,0,0,21,89504,234,"2020-03-29, 12:06","https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1","https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",0,0
Kiel,Kreisfreie Stadt,Kiel (Kreisfreie Stadt),01002,74,0,1,73,247548,298,"2020-03-29, 12:06",https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,4,13
Lübeck,Kreisfreie Stadt,Lübeck (Kreisfreie Stadt),01003,69,1,1,67,217198,317,"2020-03-29, 12:06",https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,,4,14
Neumünster,Kreisfreie Stadt,Neumünster (Kreisfreie Stadt),01004,15,0,0,15,79487,188,"2020-03-29, 12:06",https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PM7Coronavirusbestaetigt.pdf,0,0
Dithmarschen,Kreis,Dithmarschen (Kreis),01051,24,0,0,24,133210,180,"2020-03-29, 12:06",https://www.dithmarschen.de/Neues-erfahren/Pressemitteilungen,https://www.dithmarschen.de/Neues-erfahren/Coronavirus,0,0
Herzogtum Lauenburg,Kreis,Herzogtum Lauenburg (Kreis),01053,80,0,1,79,197264,405,"2020-03-29, 12:06",https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,https://schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,5,12
Nordfriesland,Kreis,Nordfriesland (Kreis),01054,36,0,0,36,165507,217,"2020-03-29, 12:06",https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,"https://www.nordfriesland.de/Quicknavigation/Start/Corona-Wie-die-kommunale-Familie-Krisenarbeit-leistet.php?object=tx,2271.1&ModID=7&FID=2271.10695.1&NavID=2271.37&xn=1",0,0
Ostholstein,Kreis,Ostholstein (Kreis),01055,23,0,0,23,200581,114,"2020-03-29, 12:06","https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,0,0
Pinneberg,Kreis,Pinneberg (Kreis),01056,178,1,1,176,314391,566,"2020-03-29, 12:06",https://www.kreis-pinneberg.de/Coronavirus.html,https://www.kreis-pinneberg.de/Coronavirus.html,3,5
Plön,Kreis,Plön (Kreis),01057,50,0,1,49,128647,388,"2020-03-29, 12:06",https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,https://www.schleswig-holstein.de/DE/Landesregierung/I/Presse/_documents/Corona-Liste_Kreise.html,7,20
