AGS,ADMIN,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.20203,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020
07131,Ahrweiler (Landkreis),0,0,0,0,0,0,0,0,0,3,3,3,14,17,18,24,31,37,44,48,51,56,58,61,63,68,70,71,74,82,83,91,95,99,101,103,104,107,111,112,113,113,114,114,115,115,115,115,116,116,118
09771,Aichach-Friedberg (Landkreis),1,1,1,1,1,1,1,2,2,2,9,9,10,12,16,24,31,31,39,39,47,55,79,90,106,106,120,128,146,158,158,165,171,176,182,199,218,219,226,227,227,237,252,252,259,262,262,272,273,278,278
08425,Alb-Donau-Kreis (Landkreis),2,2,2,3,3,3,3,6,8,8,11,12,13,26,35,43,57,57,64,67,99,121,164,197,197,226,246,267,285,314,343,366,366,387,390,411,418,440,445,441,447,454,462,467,475,481,495,489,501,514,526
16077,Altenburger Land (Landkreis),0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,5,5,5,7,8,16,17,17,18,19,20,20,21,24,28,30,30,30,31,31,33,33,34,36,36,36,36,37,38,41,41,41,45,45,45,47
07132,Altenkirchen (Westerwald) (Landkreis),0,0,0,0,0,0,0,0,0,1,1,2,3,8,11,13,13,17,17,17,25,31,35,39,39,50,53,53,57,59,62,62,66,71,72,74,82,95,95,101,101,105,107,111,121,121,128,128,128,134,137
15081,Altmarkkreis Salzwedel (Landkreis),0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,3,6,6,8,9,10,10,12,12,12,14,15,15,17,17,17,19,21,22,25,27,28,28,28,28,28,29,30,30,30,30,30,30,30,30
09171,Altötting (Landkreis),0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,18,18,27,44,52,64,81,95,101,106,125,140,176,203,231,255,272,276,311,367,376,415,419,424,424,437,444,481,511,522,533,538,539,550,552
07331,Alzey-Worms (Landkreis),0,0,0,0,0,0,0,0,0,2,2,8,8,23,24,41,48,55,55,55,60,63,70,75,80,84,85,88,93,96,102,107,107,107,110,120,124,134,136,138,141,150,152,157,163,166,168,170,173,177,180
09361,Amberg (Kreisfreie Stadt),0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,5,5,6,7,7,7,9,9,9,18,18,22,37,34,34,34,41,49,50,50,55,55,55,55,56,58,58,60,66,68,68,69,71
09371,Amberg-Sulzbach (Landkreis),0,1,1,3,3,3,3,3,3,4,7,7,7,15,15,17,18,18,27,27,31,36,44,47,56,56,56,83,84,101,137,142,142,142,184,253,291,291,322,324,324,329,334,341,355,375,400,407,415,421,425
