Schluessel;Name;Type;Wert
1001;Flensburg;Kreisfreie Stadt;20.2
1002;Kiel;Kreisfreie Stadt;18.5
1003;Lübeck;Kreisfreie Stadt;23.2
1004;Neumünster;Kreisfreie Stadt;22.6
1051;Dithmarschen;Landkreis;24.6
1053;Herzogtum Lauenburg;Landkreis;22.3
1054;Nordfriesland;Landkreis;23.9
1055;Ostholstein;Landkreis;27.3
1056;Pinneberg;Landkreis;22.1
1057;Plön;Landkreis;25.8
1058;Rendsburg-Eckernförde;Landkreis;23.2
1059;Schleswig-Flensburg;Landkreis;23.6
1060;Segeberg;Landkreis;21.7
1061;Steinburg;Landkreis;22.6
1062;Stormarn;Landkreis;23.0
2000;Hamburg;;18.4
3101;Braunschweig;Kreisfreie Stadt;21.0
3102;Salzgitter;Kreisfreie Stadt;22.8
3103;Wolfsburg;Kreisfreie Stadt;22.3
3151;Gifhorn;Landkreis;19.8
3153;Goslar;Landkreis;27.2
3154;Helmstedt;Landkreis;23.2
3155;Northeim;Landkreis;25.3
3157;Peine;Landkreis;21.4
3158;Wolfenbüttel;Landkreis;23.4
3159;Göttingen;Landkreis;22.3
3241;Region Hannover;Landkreis;21.1
3251;Diepholz;Landkreis;22.2
3252;Hameln-Pyrmont;Landkreis;25.4
3254;Hildesheim;Landkreis;23.2
3255;Holzminden;Landkreis;26.0
3256;Nienburg (Weser);Landkreis;22.0
3257;Schaumburg;Landkreis;24.4
3351;Celle;Landkreis;23.2
3352;Cuxhaven;Landkreis;25.0
3353;Harburg;Landkreis;22.2
3354;Lüchow-Dannenberg;Landkreis;27.6
3355;Lüneburg;Landkreis;19.8
3356;Osterholz;Landkreis;23.2
3357;Rotenburg (Wümme);Landkreis;20.9
3358;Heidekreis;Landkreis;22.3
3359;Stade;Landkreis;21.2
3360;Uelzen;Landkreis;25.0
3361;Verden;Landkreis;22.0
3401;Delmenhorst;Kreisfreie Stadt;22.0
3402;Emden;Kreisfreie Stadt;21.0
3403;Oldenburg (Oldenburg);Kreisfreie Stadt;18.9
3404;Osnabrück;Kreisfreie Stadt;18.7
3405;Wilhelmshaven;Kreisfreie Stadt;26.2
3451;Ammerland;Landkreis;22.8
3452;Aurich;Landkreis;22.5
3453;Cloppenburg;Landkreis;16.2
3454;Emsland;Landkreis;18.7
3455;Friesland;Landkreis;25.8
3456;Grafschaft Bentheim;Landkreis;20.4
3457;Leer;Landkreis;21.1
3458;Oldenburg;Landkreis;21.0
3459;Osnabrück;Landkreis;20.4
3460;Vechta;Landkreis;15.9
3461;Wesermarsch;Landkreis;23.2
3462;Wittmund;Landkreis;24.2
4011;Bremen;Kreisfreie Stadt;21.0
4012;Bremerhaven;Kreisfreie Stadt;21.8
5111;Düsseldorf;Kreisfreie Stadt;19.4
5112;Duisburg;Kreisfreie Stadt;20.4
5113;Essen;Kreisfreie Stadt;21.5
5114;Krefeld;Kreisfreie Stadt;22.0
5116;Mönchengladbach;Kreisfreie Stadt;20.7
5117;Mülheim an der Ruhr;Kreisfreie Stadt;23.7
5119;Oberhausen;Kreisfreie Stadt;21.7
5120;Remscheid;Kreisfreie Stadt;22.3
5122;Solingen;Kreisfreie Stadt;21.4
5124;Wuppertal;Kreisfreie Stadt;20.9
5154;Kleve;Kreis;20.3
5158;Mettmann;Kreis;23.8
5162;Rhein-Kreis Neuss;;21.8
5166;Viersen;Kreis;21.8
5170;Wesel;Kreis;22.9
5314;Bonn;Kreisfreie Stadt;18.0
5315;Köln;Kreisfreie Stadt;17.4
5316;Leverkusen;Kreisfreie Stadt;21.7
5334;Städteregion Aachen (einschl. Stadt Aachen);;20.2
5358;Düren;Kreis;21.1
5362;Rhein-Erft-Kreis;;21.3
5366;Euskirchen;Kreis;21.3
5370;Heinsberg;Kreis;20.6
5374;Oberbergischer Kreis;;21.1
5378;Rheinisch-Bergischer Kreis;;23.1
5382;Rhein-Sieg-Kreis;;21.1
5512;Bottrop;Kreisfreie Stadt;22.1
5513;Gelsenkirchen;Kreisfreie Stadt;20.6
5515;Münster;Kreisfreie Stadt;16.9
5554;Borken;Kreis;18.7
5558;Coesfeld;Kreis;20.4
5562;Recklinghausen;Kreis;22.5
5566;Steinfurt;Kreis;19.6
5570;Warendorf;Kreis;20.9
5711;Bielefeld;Kreisfreie Stadt;19.9
5754;Gütersloh;Kreis;19.3
5758;Herford;Kreis;21.9
5762;Höxter;Kreis;22.3
5766;Lippe;Kreis;22.3
5770;Minden-Lübbecke;Kreis;21.8
5774;Paderborn;Kreis;17.8
5911;Bochum;Kreisfreie Stadt;22.0
5913;Dortmund;Kreisfreie Stadt;20.4
5914;Hagen;Kreisfreie Stadt;22.5
5915;Hamm;Kreisfreie Stadt;20.7
5916;Herne;Kreisfreie Stadt;21.8
5954;Ennepe-Ruhr-Kreis;;23.5
5958;Hochsauerlandkreis;;21.8
5962;Märkischer Kreis;;21.9
5966;Olpe;Kreis;19.9
5970;Siegen-Wittgenstein;Kreis;21.3
5974;Soest;Kreis;21.0
5978;Unna;Kreis;22.6
6411;Darmstadt;Kreisfreie Stadt;17.3
6412;Frankfurt am Main;Kreisfreie Stadt;15.7
6413;Offenbach am Main;Kreisfreie Stadt;16.7
6414;Wiesbaden;Kreisfreie Stadt;19.9
6431;Bergstraße;Landkreis;22.0
6432;Darmstadt-Dieburg;Landkreis;20.6
6433;Groß-Gerau;Landkreis;19.3
6434;Hochtaunuskreis;;22.5
6435;Main-Kinzig-Kreis;;21.3
6436;Main-Taunus-Kreis;;21.2
6437;Odenwaldkreis;;23.3
6438;Offenbach;Landkreis;21.1
6439;Rheingau-Taunus-Kreis;;22.7
6440;Wetteraukreis;;20.9
6531;Gießen;Landkreis;19.2
6532;Lahn-Dill-Kreis;;21.9
6533;Limburg-Weilburg;Landkreis;21.2
6534;Marburg-Biedenkopf;Landkreis;19.4
6535;Vogelsbergkreis;;24.0
6611;Kassel;Kreisfreie Stadt;19.5
6631;Fulda;Landkreis;20.9
6632;Hersfeld-Rotenburg;Landkreis;23.8
6633;Kassel;Landkreis;24.7
6634;Schwalm-Eder-Kreis;;23.0
6635;Waldeck-Frankenberg;Landkreis;23.0
6636;Werra-Meißner-Kreis;;25.4
7111;Koblenz;Kreisfreie Stadt;21.6
7131;Ahrweiler;Landkreis;24.3
7132;Altenkirchen (Westerwald);Landkreis;22.0
7133;Bad Kreuznach;Landkreis;23.0
7134;Birkenfeld;Landkreis;24.1
7135;Cochem-Zell;Landkreis;24.0
7137;Mayen-Koblenz;Landkreis;21.6
7138;Neuwied;Landkreis;22.1
7140;Rhein-Hunsrück-Kreis;;22.3
7141;Rhein-Lahn-Kreis;;23.1
7143;Westerwaldkreis;;20.9
7211;Trier;Kreisfreie Stadt;17.7
7231;Bernkastel-Wittlich;Landkreis;22.5
7232;Eifelkreis Bitburg-Prüm;;20.5
7233;Vulkaneifel;Landkreis;23.9
7235;Trier-Saarburg;Landkreis;20.3
7311;Frankenthal (Pfalz);Kreisfreie Stadt;22.9
7312;Kaiserslautern;Kreisfreie Stadt;20.2
7313;Landau in der Pfalz;Kreisfreie Stadt;19.0
7314;Ludwigshafen am Rhein;Kreisfreie Stadt;19.1
7315;Mainz;Kreisfreie Stadt;17.5
7316;Neustadt an der Weinstraße;Kreisfreie Stadt;24.0
7317;Pirmasens;Kreisfreie Stadt;25.2
7318;Speyer;Kreisfreie Stadt;22.1
7319;Worms;Kreisfreie Stadt;20.3
7320;Zweibrücken;Kreisfreie Stadt;23.0
7331;Alzey-Worms;Landkreis;19.6
7332;Bad Dürkheim;Landkreis;23.9
7333;Donnersbergkreis;;21.3
7334;Germersheim;Landkreis;19.5
7335;Kaiserslautern;Landkreis;21.4
7336;Kusel;Landkreis;23.5
7337;Südliche Weinstraße;Landkreis;22.7
7338;Rhein-Pfalz-Kreis;;22.5
7339;Mainz-Bingen;Landkreis;20.4
7340;Südwestpfalz;Landkreis;24.7
8111;Stuttgart;Stadtkreis;17.9
8115;Böblingen;Landkreis;19.8
8116;Esslingen;Landkreis;20.4
8117;Göppingen;Landkreis;21.4
8118;Ludwigsburg;Landkreis;19.7
8119;Rems-Murr-Kreis;Landkreis;20.9
8121;Heilbronn;Stadtkreis;19.5
8125;Heilbronn;Landkreis;19.1
8126;Hohenlohekreis;Landkreis;19.2
8127;Schwäbisch Hall;Landkreis;19.0
8128;Main-Tauber-Kreis;Landkreis;22.2
8135;Heidenheim;Landkreis;21.8
8136;Ostalbkreis;Landkreis;20.4
8211;Baden-Baden;Stadtkreis;26.2
